n_robots,seed,arm,pose_rmse,align_rmse,trust_yield,n_delivered
3,26,bacs_gated,0.40836529984981457,0.2177877895333375,0.35821170986917483,24
3,26,plus_0.30_6,0.3924918580002371,0.23295804959797795,0.3617663598377818,24
3,26,plus_0.60_5,0.4724984070598086,0.3885410582043573,0.35137301660590864,24
3,27,fifo,0.3117990920661293,0.23746439664101332,0.44211744421165505,24
3,27,bacs_gated,0.2601771152855772,0.12637974445766934,0.4672207919877424,24
3,27,plus_0.30_6,0.30359494169682066,0.15678247537694937,0.44050537527275946,24
3,27,plus_0.60_5,0.2645540812431034,0.12948509034021083,0.4407429138554673,24
3,28,fifo,0.5239607554194525,0.3804896285994246,0.35065031551185016,24
3,28,bacs_gated,0.5068090086531694,0.28578608464587846,0.4230673020312392,24
3,28,plus_0.30_6,0.4955699008171432,0.2831869585543888,0.3837771225308721,24
3,28,plus_0.60_5,0.5337547992954081,0.29770169095855753,0.3917077268780759,24
3,29,fifo,0.3387322018147959,0.3608818939071629,0.43468932195742266,24
3,29,bacs_gated,0.5034120411300679,0.31482331301648736,0.4290499494556374,24
3,29,plus_0.30_6,0.34828862616985373,0.24028475980782388,0.416236876634793,24
3,29,plus_0.60_5,0.4475742464473231,0.2572726467700759,0.40862782992349667,24
3,30,fifo,0.55418064448397,0.7450596566900063,0.43875487962412046,24
3,30,bacs_gated,0.5956422605937364,0.24544025420558038,0.2765022044405381,24
3,30,plus_0.30_6,0.6080812970957011,0.2467393519575827,0.27303384497498734,24
3,30,plus_0.60_5,0.5046583328523809,0.2711989840474075,0.2803244423870696,24
3,31,fifo,0.33669906580109693,0.3417876264960896,0.37677605591240065,24
3,31,bacs_gated,0.2558334044577859,0.15519807145202194,0.5265002115439613,24
3,31,plus_0.30_6,0.22115472748253628,0.14664621601008795,0.5632571901558979,24
3,31,plus_0.60_5,0.22776403347552965,0.14635478274525562,0.5632212176764386,24
3,32,fifo,0.19448649073511604,0.33487696163356206,0.27275897793974424,24
3,32,bacs_gated,0.2966536232399422,0.23557630568542196,0.2813903217436082,24
3,32,plus_0.30_6,0.23231432872133562,0.23564469472379965,0.2827380361488158,24
3,32,plus_0.60_5,0.2845527680589911,0.22785548712445425,0.33089577367880113,24
3,33,fifo,0.2583797600336324,0.4942432714601612,0.4913170482726235,24
3,33,bacs_gated,0.20511640444053097,0.21037224477075697,0.46083337795149437,24
3,33,plus_0.30_6,0.23624157223254327,0.20779225773996288,0.45256735155872313,24
3,33,plus_0.60_5,0.3571838991107992,0.2164927620165356,0.46777298554748,24
3,34,fifo,0.31329389979486066,0.3178158132142602,0.34925673430697274,24
3,34,bacs_gated,0.35727663944091403,0.21876562104182762,0.44193896478604827,24
3,34,plus_0.30_6,0.317411415013478,0.26869444516072183,0.4326867496742712,24
3,34,plus_0.60_5,0.38091331591516836,0.23113790515976881,0.448635394348652,24
3,35,fifo,0.3685001620337028,0.42253428726993236,0.39322978882595017,24
3,35,bacs_gated,0.3320255063162824,0.26579801555510313,0.4144351501847152,24
3,35,plus_0.30_6,0.33480727251137726,0.26078419376372025,0.4166915432908289,24
3,35,plus_0.60_5,0.3269922666358058,0.20192046485696427,0.3869941462090303,24
3,36,fifo,0.43191766342509297,0.6179034278051525,0.3999371133211384,24
3,36,bacs_gated,0.30069985429012813,0.16104835415873797,0.27174926642645153,24
3,36,plus_0.30_6,0.2851935688050522,0.3062677012548873,0.308129821722191,24
3,36,plus_0.60_5,0.2629298042804833,0.30397484694998217,0.28931230300236677,24
3,37,fifo,0.4803494878888917,0.44329359204418617,0.46216585766445534,24
3,37,bacs_gated,0.47513315578022186,0.2442719416306577,0.3030635711390984,24
3,37,plus_0.30_6,0.447842163617163,0.24148319570088358,0.30505002947497367,24
3,37,plus_0.60_5,0.4504719245473755,0.21539854751091012,0.3295885205616617,24
3,38,fifo,0.2852500655430101,0.45581522963700233,0.28890844522377535,24
3,38,bacs_gated,0.4934591274204321,0.23456840805065404,0.4592055524589935,24
3,38,plus_0.30_6,0.557621192758122,0.18717308271324842,0.46359070632626825,24
3,38,plus_0.60_5,0.4259739080332188,0.17693854233614112,0.4568293149338763,24
3,39,fifo,0.7554838674522051,0.6382830687847324,0.42128170762533834,24
3,39,bacs_gated,0.20414307222547415,0.1591094324024878,0.4386585857589669,24
3,39,plus_0.30_6,0.2014850480152622,0.15479570561281922,0.44955776581619517,24
3,39,plus_0.60_5,0.17395240985707952,0.13226031095007043,0.40682165327287106,24
4,10,fifo,0.30920235430749565,0.16124506888465664,0.5488305603668943,32
4,10,bacs_gated,0.2671055936377476,0.14579888195221788,0.4848432606848323,32
4,10,plus_0.30_6,0.3332918257226615,0.1622915623081116,0.5175059593099337,32
4,10,plus_0.60_5,0.290070340249312,0.15926589259357174,0.44663283073459753,32
4,11,fifo,0.2842468327257513,0.3227271991554708,0.3731808097819327,32
4,11,bacs_gated,0.3511153873749322,0.21211340022181258,0.4539840748514321,32
4,11,plus_0.30_6,0.26085040169241813,0.12269637617287904,0.4955277084436019,32
4,11,plus_0.60_5,0.2904165997357907,0.12882935872754953,0.4713162710778634,32
4,12,fifo,0.42269428054797586,0.23081181615186755,0.4284587517284801,32
4,12,bacs_gated,0.32692735191537226,0.1974034346525174,0.40978002792486273,32
4,12,plus_0.30_6,0.36717881422294596,0.17747086003630286,0.45479306955872223,32
4,12,plus_0.60_5,0.39113203115293055,0.2400165824042905,0.43777492348659436,32
4,13,fifo,0.5028658775683995,0.4440749496127476,0.4333706778307877,32
4,13,bacs_gated,0.5468119913935358,0.2731519655010574,0.3633692155731277,32
4,13,plus_0.30_6,0.4809488735760136,0.28499447733379324,0.3468456994205252,32
4,13,plus_0.60_5,0.4350461993682075,0.18979129391593316,0.32291779089054146,32
4,14,fifo,0.30761234489570377,0.19010532021112744,0.4208151660531592,32
4,14,bacs_gated,0.2628546308824514,0.16935031475810017,0.4215393024696521,32
4,14,plus_0.30_6,0.26233446672822747,0.14705243577928012,0.4374126648226999,32
4,14,plus_0.60_5,0.3240241256508619,0.1683478483759581,0.3961463567527707,32
4,15,fifo,0.28486381840398334,0.2255695615017488,0.4784423196795745,32
4,15,bacs_gated,0.3324488002767307,0.21570125173444482,0.3649329898222304,32
4,15,plus_0.30_6,0.3010476158663057,0.2220076792600734,0.34765192576656334,32
4,15,plus_0.60_5,0.26873892268202293,0.19702696763396654,0.3364600304758222,32
4,16,fifo,0.2688466726755675,0.36152682303668404,0.39639094832742183,32
4,16,bacs_gated,0.4451380354836339,0.20028007532451853,0.3319285766086417,32
4,16,plus_0.30_6,0.4471038264555195,0.1892229334086118,0.33478175773458113,32
4,16,plus_0.60_5,0.4472070279035958,0.18497251857548858,0.3924753562512466,32
4,17,fifo,0.6544223003780792,0.17508208443774265,0.41044399511387597,32
4,17,bacs_gated,0.22692630677447329,0.13730563156961684,0.4936637150327758,32
4,17,plus_0.30_6,0.41077805726818056,0.37674727915125167,0.4591197415921901,32
4,17,plus_0.60_5,0.2599029384213872,0.18556336365236115,0.4088183028974251,32
4,18,fifo,0.5800168573063829,0.22200504873088897,0.323218490911589,32
4,18,bacs_gated,0.4221004540351337,0.16808003762902726,0.3583287009619056,32
4,18,plus_0.30_6,0.4434732671211177,0.22161813665147187,0.37652819415749283,32
4,18,plus_0.60_5,0.3834792049152429,0.20557932592438685,0.355544267641228,32
4,19,fifo,0.22326211406665092,0.18442029207464336,0.5234552805096899,32
4,19,bacs_gated,0.3501262657216567,0.15916949755129495,0.47905785439044435,32
4,19,plus_0.30_6,0.44386972659947516,0.3112914454351914,0.3295952257512391,32
4,19,plus_0.60_5,0.5231002422435931,0.3863741063418536,0.3007780096023557,32
4,20,fifo,0.3162476319139698,0.3411446084810618,0.44714791222554995,32
4,20,bacs_gated,0.3460887346118467,0.18520070596248975,0.40967455601829095,32
4,20,plus_0.30_6,0.25549646564706885,0.17182741538063823,0.3861613801747453,32
4,20,plus_0.60_5,0.3367605662427997,0.25654979346443024,0.34854301956007755,32
4,21,fifo,0.48261663215522843,0.3191797678804644,0.30939962778177643,32
4,21,bacs_gated,0.35233862081719075,0.1804007647117336,0.37098449303049197,32
4,21,plus_0.30_6,0.3577872301128783,0.1949611102252053,0.3856686150452058,32
